title,notes

049,"21 agosto 1979, mattino, ore 06:15
Il giorno che James aveva tanto aspettato era finalmente arrivato. Finalmente avrebbe confessato il suo amore a Vera Rome. Non gli importava di nulla se non di concedersi un briciolo di felicità dopo le sue ultime snervanti vicissitudini: il divorzio, il processo per l'affidamento dei figli, il brutto incidente di Barbara e la visita degli agenti del fisco.
Come tutte le mattine si era scambiato il solito sguardo d'intesa con Vera, ma questa volta James decise di entrare nella Rome Baking, trovando la donna al bancone con i capelli raccolti e il grembiule legato in vita.
Senza pensarci James le dichiarò i suoi sentimenti, agendo ancora una volta in modo impulsivo e mettendosi a gridare dall'ingresso: «Vera tu mi piaci moltissimo, e se non vuoi diventare la mia socia in affari per lo meno concedimi un appuntamento!».
Ma la reazione di Vera fu totalmente inaspettata e spiazzante per James, infatti la donna con fare minaccioso lo incalzò gridando dal bancone: «Signor Walter, le ordino di uscire immediatamente dal mio locale!».
Poi, avvicinandosi verso di lui, Vera lo accompagnò fuori dalla porta dicendogli che non doveva più permettersi di fare certe scenate con lei, soprattutto in pubblico, non voleva che i suoi colleghi pensassero che fosse in affari con la concorrenza e inoltre non voleva peggiorare la situazione, già precaria, con suo marito, perché si sa, nulla può frenare i pettegolezzi in un piccolo paesino come Stob."

050,"21 agosto 1979, mattino, ore 06:15
Il giorno che James aveva tanto aspettato era finalmente arrivato. Finalmente avrebbe confessato il suo amore a Vera Rome. In fondo non gli importava della risposta che avrebbe ricevuto, ciò che davvero voleva era concedersi un briciolo di felicità dopo le sue ultime snervanti vicissitudini: il divorzio, il processo per l'affidamento dei figli, il brutto incidente di Barbara e la visita degli agenti del fisco.
Non ce la faceva più a tenersi tutto dentro, voleva togliersi questo peso dallo stomaco e voleva che Vera sapesse cosa lui provasse per lei.
Come tutte le mattine si era scambiato il solito sguardo d'intesa con Vera, ma questa volta James decise di entrare nella Rome Baking, trovando la donna al bancone con i capelli raccolti e il grembiule legato in vita.
Senza pensarci James le dichiarò i suoi sentimenti, agendo ancora una volta in modo impulsivo e mettendosi a gridare dall'ingresso: «Vera tu mi piaci moltissimo, e se non vuoi diventare la mia socia in affari per lo meno concedimi un appuntamento!».
Vera all’inizio rimase spaesata, quasi colpita da quelle parole, ma in fondo un po’ se l’aspettava.
Poi girandosi verso gli altri impiegati del negozio fa un cenno e, uscendo da dietro al bancone, fa cenno a James di seguirla fuori dal negozio.
Una volta usciti sul marciapiede Vera guarda James negli occhi, e con un accenno di sorriso dice: «James, capisco la tua situazione, ma il fatto è che siamo troppo diversi, non potrebbe mai funzionare e lo sai anche tu».
James allora risponde: «Lo so Vera, mi aspettavo questa tua risposta, semplicemente volevo che tu sapessi ciò che io provo per te».
Poi continua: «Mi dispiace di averti messa in imbarazzo, ti chiedo scusa».
E dopo essersi scambiati un ultimo sguardo, James si volta e si incammina verso la sua macchina, mentre Vera rimane ferma davanti all’ingresso guardandolo allontanarsi, dopodiché rientra nel negozio."

051,"21 agosto 1979, mattino, ore 6:15
Il giorno che James aveva aspettato è arrivato. Oggi James confessa il suo amore a Vera Rome. Non gli importa di nulla se non di concedersi un briciolo di felicità dopo il divorzio, il processo per l’affidamento dei figli, il brutto incidente di Barbara e la visita degli agenti del fisco. Come tutte le mattine James si era scambiato uno sguardo complice con Vera, ma questa volta James decide di andare da lei alla Rome Bakery. Vera era pronta a servire con i capelli raccolti e il grembiule legato in vita.
«Cosa posso darti?»
«Una baguette».
«Nient’altro? Abbiamo appena sfornato una cheesecake che è una delizia.»
«Anche quella allora.»
«Basta così?»
«…»
Vera si sta già incamminando verso la cassa per battere lo scontrino quando James di fronte al resto dei clienti: «Vera, non passa giorno in cui io non pensi a te. Aspetto con ansia il momento in cui tutte le mattine ci scambiamo uno sguardo di intesa. Non è stato un periodo facile per me ultimamente e non è facile per me nemmeno fare questo. Ti amo Vera, l’ho capito dalla prima volta che ti ho incontrata e so che è così anche per te. Non mi interessa se le nostre bakery sono in concorrenza tra di loro. Lascerei tutto per stare con te. Non riuscivo più a tenere dentro quello che sentivo per te. Dimmi qualcosa.»
«Ti amo anch’io James».
James non aveva bisogno di sentire altro. Andò verso Vera e quando l’abbracciò partì un forte applauso da parte degli spettatori.
Non importava più nulla perché da quel momento Vera e James sarebbero stati uniti contro tutto e tutti."

052,"21 agosto 1979, mattino, ore 6:15
Il giorno che James aveva tanto aspettato era finalmente arrivato. Finalmente avrebbe confessato il suo amore a Vera Rome. Non gli importava di nulla se non di concedersi un briciolo di felicità dopo le sue ultime snervanti vicissitudini: il divorzio, il processo per l'affidamento dei figli, il brutto incidente di Barbara e la visita degli agenti del fisco. Come tutte le mattine si era scambiato il solito sguardo di intesa con Vera, ma questa volta James decise di entrare nella Rome Baking, trovando la donna al bancone con i capelli raccolti e il grembiule legato in vita.
«Ciao Vera».
Affannata per aver servito una decina di clienti senza sosta, si poggia sul bancone di fronte a James.
«Ciao James, dimmi tutto».
«Mi potresti dare quei due croissant alla marmellata?»
«Sì certo, tieni pure», sorridendogli.
Dopo aver pagato, James si incamminò verso l'uscita ma titubante si rigirò guardando Vera.
«Senti Vera…»
Vera, che non si era accorta che James era ancora lì, lo guardò un po' stranita.
«Ho sbagliato i croissant?»
James tirò fuori il coraggio e tutto d'un fiato: «Non è che stasera vorresti venire a cena con me?»
Vera sorridendo per la faccia tutta rossa di James annuì con la testa.
James, sospirando di sollievo: «Allora ti passo a prendere per le 20 questa sera» e sorridendole uscì dal locale."

053,"23 agosto 1979, sera, 20:30
Edward Sprecher stava percorrendo il vialetto di casa sua, stanco ed affaticato dopo aver svolto un’altra stremante giornata in miniera.
La stanchezza lavorativa, era solo una goccia nel mare di pensieri dell’uomo; la cosa che più lo preoccupava era il suo matrimonio, la moglie Vera, da un po’ di giorni si comportava in modo insolito ed oltretutto la sentiva molto più distante del solito.
Aveva pensato alla moglie tutta la giornata, arrivando alla conclusione che l’unica cosa che potesse fare per ricucire quella distanza era di discutere faccia a faccia; quella era la sera giusta per farlo, visto che i figli si trovavano a casa dei nonni.
Era lì, davanti la porta di casa. Sapeva che una volta aperta, avrebbe finalmente rimesso a posto il suo matrimonio o almeno così sperava.
Entrò in casa e si stupì quando non trovò Vera… Era strano che la moglie tardasse così tanto a rientrare, ma in quei giorni le stranezze erano state molte.
Edward non poteva far altro che aspettarla, prese una birra dal frigo, si mise sul divano in salone ed attese la moglie.
Passò quasi un’ora, quando finalmente la porta di ingresso si aprì ed a entrare fu Vera.
Subito il marito la interpellò: «Dove sei stata?»
Vera lo guardò un attimo. Divenne rossa in volto. Ed esplose.
«Che cosa ti aspetti Edward? Che rimanga a casa ad aspettarti ansiosa di riabbracciarti? Credi che sia facile per me vivere così? A lavoro faccio degli orari massacranti, ho tantissimi pensieri e tu non mi porti mai a cena fuori! Anche io ho bisogno di svagarmi e di divertirmi ogni tanto, ma tu arrivi a casa e ti accasci su quel dannato divano, quasi non mi saluti! Sei solo un egoista Edward, non ti occupi di me e non ti occupi dei miei figli, l’unica che ogni tanto guardi è Valerie, solo perché è figlia tua, gli altri è come se non esistessero per te!» lacrime di rabbia le rigavano il viso.
Edward rimase pietrificato dalla reazione della moglie, voleva risponderle a tono ma non aveva idea di cosa dire in quel momento.
«Non parli? Dunque sai che ho ragione!» infierì lei, poi corse al piano superiore lasciando solo Edward."

054,"23 agosto 1979, sera, 20:30
Edward Sprecher stava percorrendo il vialetto di casa sua, stanco ed affaticato dopo aver svolto un’altra stremante giornata in miniera.
La stanchezza lavorativa, era solo una goccia nel mare di pensieri dell’uomo; la cosa che più lo preoccupava era il suo matrimonio, la moglie Vera, da un po’ di giorni si comportava in modo insolito ed oltretutto la sentiva molto più distante del solito.
Aveva pensato alla moglie tutta la giornata, arrivando alla conclusione che l’unica cosa che potesse fare per ricucire quella distanza era di discutere faccia a faccia; quella era la sera giusta per farlo, visto che i figli si trovavano a casa dei nonni.
Era lì, davanti la porta di casa. Sapeva che una volta aperta, avrebbe finalmente rimesso a posto il suo matrimonio o almeno così sperava.
Entrò in casa e si stupì quando non trovò Vera… Era strano che la moglie tardasse così tanto a rientrare, ma in quei giorni le stranezze erano state molte.
Edward non poteva far altro che aspettarla, prese una birra dal frigo, si mise sul divano in salone ed attese la moglie.
Passò quasi un’ora, quando finalmente la porta di ingresso si aprì ed a entrare fu Vera.
Subito il marito la interpellò: «Dove sei stata?»
Vera sibillina e diretta rispose: «Sono stanca, non ho voglia di parlarne adesso»
Edward fu sorpreso da quella risposta così scontrosa della moglie. «Perché fai così? Sono giorni che mi eviti e che ti comporti in modo strano». Fece una pausa: «Che cosa mi stai nascondendo?»
«Te l’ho già detto, non voglio parlartene, ed ora lasciami stare!»
In men che non si dica Vera andò in camera da letto, chiudendosi la porta alle spalle.
Lasciando il marito sbigottito ed isolato, senza nulla tra le mani, tranne una birra calda."

055,"25 agosto 1979, pomeriggio, 14:30
Era stato un sabato mattina tranquillo e dopo il pranzo in famiglia Vera era soddisfatta, pronta per una pennichella trasportata dai pensieri: al mattino infatti la madre Elsie le aveva confermato che al più tardi alla fine del mese avrebbe di certo lasciato la bakery, e Vera non la biasimava di certo.
Questa era un'opportunità che Vera voleva cogliere a tutti i costi, avrebbe risolto gran parte delle sue grane con una sola astuta mossa, o almeno le grane che riguardavano James Walter. L'uomo, che fino a poco prima trovava attraente iniziava a scocciarla e sotto certi punti di vista addirittura a ripugnarla. Ma anche se non lo vedeva più con gli stessi occhiali rosa questo non doveva esserle di ostacolo: avrebbe accettato la sua proposta di affari! Non era affatto preoccupata per la possibile denuncia ai danni della Rome Baking, tuttavia poteva evitare di incorrere in inutili complicazioni. In questa maniera avrebbe promosso la sua panetteria a detentrice di un monopolio di fatto, una manna per i suoi affari. Però doveva anche pensare a come tenere a bada gli istinti del caro James, avrebbe dovuto parlargli chiaro fin da subito: «Ok gli affari, saremo una grande squadra e nessuno ci farà concorrenza a Stob per molto tempo; ma solo di questo si tratta James! Sto cercando di rimettere in piedi il mio matrimonio e non voglio interferenze sotto questo punto di vista, siamo intesi?!» Viste le sue condizioni finanziarie, James avrebbe accettato certamente senza controbattere, aveva molto più bisogno di lei di quell'affare.
Ed un problema era a posto. Ma Vera non poteva fare a meno di chiedersi se fosse sincera con se stessa, era davvero intenzionata a sistemare il proprio matrimonio?
Lo squillo del telefono troncò i suoi pensieri: era sua sorella, Joy Proust, che le parlava alla cornetta in lacrime: «Ti prego Vera, lascia in pace Leo. Lo sai bene che è sempre stato attratto da te; e in fondo io ho sempre pensato che abbia sposato me solo come ripiego.»
Lo sfogo della sorella riportava il senno in Vera. Doveva smettere di assecondare le sue pulsioni facendo soffrire le persone intorno a lei: James, Leo, Joy, ma soprattutto Edward erano state vittime del suo egoismo. Ma la musica stava per cambiare, la sua vita sarebbe tornata in ordine: gli affari, la famiglia… poteva sentirne gli effetti positivi già da ora, solo pensandoci.
«Non preoccuparti Joy, è tuo marito e nessuno vi separerà. Grazie sorellina, come sempre mi hai aperto gli occhi. Ti voglio bene.»"

056,"23 agosto 1979, sera, 20:30
Edward Sprecher stava percorrendo il vialetto di casa sua, stanco ed affaticato dopo aver svolto un’altra stremante giornata in miniera.
La stanchezza lavorativa, era solo una goccia nel mare di pensieri dell’uomo; la cosa che più lo preoccupava era il suo matrimonio, la moglie Vera, da un po’ di giorni si comportava in modo insolito ed oltretutto la sentiva molto più distante del solito.
Aveva pensato alla moglie tutta la giornata, arrivando alla conclusione che l’unica cosa che potesse fare per ricucire quella distanza era di discutere faccia a faccia; quella era la sera giusta per farlo, visto che i figli si trovavano a casa dei nonni.
Era lì, davanti la porta di casa. Sapeva che una volta aperta, avrebbe finalmente rimesso a posto il suo matrimonio o almeno così sperava.
Entrò in casa e si stupì quando non trovò Vera… Era strano che la moglie tardasse così tanto a rientrare, ma in quei giorni le stranezze erano state molte.
Edward non poteva far altro che aspettarla, prese una birra dal frigo, si mise sul divano in salone ed attese la moglie.
Passò quasi un’ora, quando finalmente la porta di ingresso si aprì ed a entrare fu Vera.
Subito il marito la interpellò: «Dove sei stata?»
Vera rimase calma di fronte ai toni aggressivi del marito.
«Sono stata a fare una passeggiata e a discutere di questioni lavorative.»
Edward la osservò sospettoso. «Spero che il lavoro vada sempre meglio. Queste bollette non si pagheranno da sole»
Vera gli fece un debole sorriso e salì in camera da letto tirando un sospiro di sollievo. Anche per questa volta era sfuggita alla sua ira."

057,"24 settembre 1979, pomeriggio
Passò circa un mese dall’ultimo incontro con James per strada. Vera si sentiva tradita e non poteva perdonarsi di aver provato dei sentimenti per una simile bestia. I processi avevano continuato e, nonostante fosse palese la calunnia nei suoi confronti, non si capiva a chi il giudice volesse dar ragione. La donna era stanca, sciupata, aveva perso dei chili e ormai non faceva altro che passare dal posto di lavoro al tribunale in continuazione. Ma dopo oggi sarebbe tutto cambiato. Tutto, nel bene o nel male. Vera salì in macchina, forte delle sue convinzioni e speranzosa in una giustizia divina, se non umana. Girò le chiavi dell’auto e partì verso il tribunale.
«La Corte Suprema di Cassazione…», annunciò il giudice, «ha pronunciato la seguente sentenza tra James Walter, proprietario della 5th Street Baking e Vera cameriera e rappresentante della panetteria Rome Baking, con ricorso presentato dal signor Walter impugnando la pronuncia emessa dal Consiglio di Stato ove si indica e denuncia la scarsa cura igienica del luogo dove la signorina Rome lavora.»
La tensione era alle stelle.
«La Corte ha deciso e dà la ragione a James Walter, condannando la panetteria Rome Baking a chiudere fino a data da destinarsi. La seduta è sciolta.»
Vera sbiancò e perse completamente la forza nelle gambe. Guardò incredula James e questi ricambiò con un sorriso mesto e alzando le spalle. Poi con il labiale disse: «Gli affari sono affari», si girò e prese la porta per andarsene.
Una mano si appoggiò sulla spalla di Vera, era il suo avvocato. «Mi dispiace» disse, anche lui andandosene. Vera rimase lì, ferma e seduta mentre tutta la sala si stava svuotando. Non sapeva come avrebbe pagato la casa, la macchina, l’avvocato o qualsiasi altra cosa. La vittoria di quella causa significava realmente per lei vivere e ora non aveva più un soldo. Di fronte a lei solo un baratro nero e tante lacrime."

058,"24 settembre 1979, pomeriggio
Passò circa un mese dall’ultimo incontro con James per strada. Vera si sentiva tradita e non poteva perdonarsi di aver provato dei sentimenti per una simile bestia. I processi avevano continuato e, nonostante fosse palese la calunnia nei suoi confronti, non si capiva a chi il giudice volesse dar ragione. La donna era stanca, sciupata, aveva perso dei chili e ormai non faceva altro che passare dal posto di lavoro al tribunale in continuazione. Ma dopo oggi sarebbe tutto cambiato. Tutto, nel bene o nel male. Vera salì in macchina, forte delle sue convinzioni e speranzosa in una giustizia divina, se non umana. Girò le chiavi dell’auto e partì verso il tribunale.
«La Corte Suprema di Cassazione…», annunciò il giudice, «ha pronunciato la seguente sentenza tra James Walter, proprietario della 5th Street Baking e Vera cameriera e rappresentante della panetteria Rome Baking, con ricorso presentato dal signor Walter impugnando la pronuncia emessa dal Consiglio di Stato ove si indica e denuncia la scarsa cura igienica del luogo dove la signorina Rome lavora. »
La tensione era alle stelle.
«La Corte ha deciso e dà la ragione a James Walter, condannando la panetteria Rome Baking a chiudere fino a data da destinarsi. La seduta è sciolta.»
Vera sbiancò e perse completamente la forza nelle gambe. Guardò incredula James e questi ricambiò con un sorriso mesto e alzando le spalle. Poi con il labiale disse: Gli affari sono affari», si girò e prese la porta per andarsene.
Una mano si appoggiò sulla spalla di Vera, era il suo avvocato. «Mi dispiace. » disse, anche lui andandosene. Vera rimase lì, ferma e seduta mentre tutta la sala si stava svuotando. Aveva perso tutto ma non la speranza. Era una ragazza forte, sognatrice ma anche premurosa: nel corso degli anni aveva messo da parte una buona somma di denaro per una qualsiasi evenienza e ora sapeva come usare quei soldi. Avrebbe cercato immediatamente un nuovo lavoro, avrebbe chiesto al suo avvocato un po’ di tempo per pagarlo e magari anche un piccolo prestito ai suoi genitori. Ce l’avrebbe fatta, con difficoltà, ma sarebbe riuscita a sopravvivere. Per quanto riguarda James… aveva vinto la guerra, ora doveva solo dimenticarlo e ricominciare."

059,"24 settembre 1979, pomeriggio
Passò circa un mese dall’ultimo incontro con James per strada. Vera si sentiva tradita e non poteva perdonarsi di aver provato dei sentimenti per una simile bestia. I processi avevano continuato e, nonostante fosse palese la calunnia nei suoi confronti, non si capiva a chi il giudice volesse dar ragione. La donna era stanca, sciupata, aveva perso dei chili e ormai non faceva altro che passare dal posto di lavoro al tribunale in continuazione. Ma dopo oggi sarebbe tutto cambiato. Tutto, nel bene o nel male. Vera salì in macchina, forte delle sue convinzioni e speranzosa in una giustizia divina, se non umana. Girò le chiavi dell’auto e partì verso il tribunale.
«La Corte Suprema di Cassazione…», annunciò il giudice, «ha pronunciato la seguente sentenza tra James Walter, proprietario della 5th Street Baking e Vera cameriera e rappresentante della panetteria Rome Baking, con ricorso presentato dal signor Walter impugnando la pronuncia emessa dal Consiglio di Stato ove si indica e denuncia la scarsa cura igienica del luogo dove la signorina Rome lavora.»
La tensione era alle stelle.
«La Corte ha deciso e dà la ragione a Vera Rome. La 5th Street Banking dovrà elargire alla signorina Roma quanto lei ha speso per il processo. La seduta è sciolta.»
Vera tirò un sospiro di sollievo e, per la prima volta da tempo, si sentì leggera e sollevata, la sua vita poteva proseguire senza impedimenti: aveva ancora un lavoro sicuro. Mentre il tribunale si stava velocemente svuotando, una figura gli si avvicinò con passo incerto: era James.
«Vera, mi dispiace per quello che ho fatto. So che le mie scuse sono insignificanti in questo momento ma sento di dovertele fare. Tutta la storia della denuncia era partita molto prima che io ti conoscessi. Il vostro negozio è molto migliore rispetto al nostro e noi avevamo bisogno di soldi. Non riesco più a sfamare i miei figli.»
Vera non sapeva se fidarsi o meno, in fondo l’aveva praticamente tradita. «Avresti potuto dirmelo, ne avremmo parlato e avremmo cercato una soluzione insieme.»
«Insieme?»
«Sì… avrei voluto che accadesse qualcosa fra noi.»
«Mi dispiace, anch’io provo qualcosa per te ma ho dovuto scegliere. Ti prometto che non farò ricorso, questa storia finisce qui. Ti prego di perdonarmi.» disse James con tono sinceramente pentito, per poi prendere la porta e andarsene.
Immediatamente dopo, la mano dell’avvocato si appoggiò sulla spalla della donna.
«Ha capito la lezione. Non fartene un cruccio, hai vinto e ora hai solo bisogno che ti rilassi. Vuoi farti un caffè?»
«Sì, volentieri!»
Non sapeva cosa le riservasse il futuro per lei, ma di sicuro lo avrebbe affrontato con tranquillità."

060,"24 settembre 1979, pomeriggio
Passò circa un mese dall’ultimo incontro con James per strada. Vera si sentiva tradita e non poteva perdonarsi di aver provato dei sentimenti per una simile bestia. I processi avevano continuato e, nonostante fosse palese la calunnia nei suoi confronti, non si capiva a chi il giudice volesse dar ragione. La donna era stanca, sciupata, aveva perso dei chili e ormai non faceva altro che passare dal posto di lavoro al tribunale in continuazione. Ma dopo oggi sarebbe tutto cambiato. Tutto, nel bene o nel male. Vera salì in macchina, forte delle sue convinzioni e speranzosa in una giustizia divina, se non umana. Girò le chiavi dell’auto e partì verso il tribunale.
«La Corte Suprema di Cassazione…», annunciò il giudice, «ha pronunciato la seguente sentenza tra James Walter, proprietario della 5th Street Baking e Vera cameriera e rappresentante della panetteria Rome Baking, con ricorso presentato dal signor Walter impugnando la pronuncia emessa dal Consiglio di Stato ove si indica e denuncia la scarsa cura igienica del luogo dove la signorina Rome lavora.»
La tensione era alle stelle.
«La Corte ha deciso e dà la ragione a Vera Rome. La 5th Street Banking dovrà elargire alla signorina Roma quanto lei ha speso per il processo. La seduta è sciolta.»
Vera tirò un sospiro di sollievo e, per la prima volta da tempo, si sentì leggera e sollevata, la sua vita poteva proseguire senza impedimenti: aveva ancora un lavoro sicuro. Mentre il tribunale si stava velocemente svuotando, una figura gli si avvicinò velocemente: era James.
«Non credere che sia finita qui, ho intenzione di fare ricorso. Ho bisogno di soldi e devo essere l’unico nella piazza!» e si girò, andando verso l’uscita a passi lunghi.
Immediatamente dopo, la mano dell’avvocato si appoggiò sulla spalla della donna.
«E noi saremo pronti a respingerlo. Non ti preoccupare. Vuoi farti un caffè?»
«Sì… sì, perché no…»
La felicità di Vera cessò nel giro di pochi secondi. Aveva vinto la battaglia ma non la guerra."

061,"20 agosto 1979, mattino, ore 5:00
È l’alba, Amanda Proust si ritrova con gli occhi spalancati nel letto, il sonno se n'è andato e sembra non voler ritornare ma nonostante sia molto presto Amanda si sente piena di energie. Decide così di alzarsi ed approfittarne per farsi una corsetta, si alza, si prepara un caffè al volo e via… la strada questa mattina è tutta sua. La corsa prosegue alla grande ed Amanda decide di allungare un po' il solito percorso, svolta nella via appena più avanti, quella in cui abita il fratello Leo ed è proprio lui che vede da lontano procedere con un andamento lento e leggermente traballante in direzione di casa o almeno così sembrerebbe. Amanda velocizza il passo e gli corre incontro fermandosi proprio davanti a lui: «Ti senti bene? »
«Si ho solo avuto una notte alquanto strana!», rispose con tono molto pacato Leo.
«Ah sì?!? Quindi stai tornando a casa ora? Dove sei stato?»
«Sono stato con una persona fino a non molto tempo fa e poi ho camminato per non so quanto… avevo bisogno di pensare…»
«Mmm va bene Leo», disse Amanda perplessa. «Che ne diresti se ora entrassimo in casa e ti facessi un bel caffè? Così mi racconti con calma».
«Ottima idea sorellina» rispose Leo sentendosi in fondo sollevato dall'incontro con la sorella.
I due fratelli entrarono nella casa estremamente disordinata e Amanda si fece largo tra le pentole, i piatti, le tazze e le posate che formavano una pila infinita nel lavandino ed in quel caos recuperò la moka per preparare il caffè. Non appena l'odore del caffè si diffuse fu diffuso per tutta la stanza ed i due fratelli si accinsero a sorseggiarlo si udì una brusca frenata di macchina, dei passi decisi e veloci sul marciapiede ed il campanello squillò. Leo aprì la porta e si trovò di fronte Edward, il marito di Vera e impallidì.
Prima che Leo potesse aprir bocca Edward iniziò a parlare: «Leo, io non riesco ad accettare l'idea che tu abbia trascorso la notte con mia moglie… Il sol pensiero mi fa stare troppo male…»
«Lo so Edward e non so che dire», lo interruppe Leo, «per me Vera è sempre stata solo un'amica e non accadrà più una cosa del genere.
«Leo ti rendi conto che mi è difficile crederlo?! In ogni caso avrò bisogno di tempo per pensarci e riprendermi però non voglio più vederti vicino alla mia famiglia altrimenti sarà impossibile risolvere la situazione».
«Va bene, farò come vuoi!» replicò Leo mortificato. «Mi spiace Edward» e gli pose la mano.
Edward con gli occhi colmi di una profonda tristezza guardò la mano di Leo poi lo guardò in faccia e se ne andrò senza proferire parola e lasciandolo con il braccio e la mano tesa verso di lui."

062,"24 settembre 1979, pomeriggio
Passò circa un mese dall’ultimo incontro con James per strada. Vera si sentiva tradita e non poteva perdonarsi di aver provato dei sentimenti per una simile bestia. I processi avevano continuato e, nonostante fosse palese la calunnia nei suoi confronti, non si capiva a chi il giudice volesse dar ragione. La donna era stanca, sciupata, aveva perso dei chili e ormai non faceva altro che passare dal posto di lavoro al tribunale in continuazione. Ma dopo oggi sarebbe tutto cambiato. Tutto, nel bene o nel male. Vera salì in macchina, forte delle sue convinzioni e speranzosa in una giustizia divina, se non umana. Girò le chiavi dell’auto e partì verso il tribunale.
«La Corte Suprema di Cassazione…», annunciò il giudice, « ha pronunciato la seguente sentenza tra James Walter, proprietario della 5th Street Baking e Vera cameriera e rappresentante della panetteria Rome Baking, con ricorso presentato dal signor Walter impugnando la pronuncia emessa dal Consiglio di Stato ove si indica e denuncia la scarsa cura igienica del luogo dove la signorina Rome lavora. »
La tensione era alle stelle.
«La Corte ha deciso e dà la ragione a James Walter, condannando la panetteria Rome Baking a chiudere fino a data da destinarsi. La seduta è sciolta.»
Vera sbiancò e perse completamente la forza nelle gambe. Guardò incredula James e questi ricambiò con un sorriso mesto e alzando le spalle. Poi con il labiale disse: «Gli affari sono affari», si girò e prese la porta per andarsene.
Una mano si appoggiò sulla spalla di Vera, era il suo avvocato.
«Mi dispiace, ce l’abbiamo messa tutta ma non è stato abbastanza. Che intende fare?»
«Ricorso. Forse non abbiamo giocato tutte le carte…» disse ripensando con mente lucida a Barbara, l’ex-moglie di James. «Hai vinto la battaglia, bastardo. Ma non la guerra.»"

063,"22 agosto ore 6:30
James esce di casa ed inizia la sua passeggiata mattutina, percorre tutta la sua via ed arriva al parchetto che si trova alla fine dell'isolato, lo attraversa e si dirige verso la panchina su cui è solito sedersi. Vede subito, anche se si trova ancora a qualche metro di distanza, che il “suo” posto è occupato da una persona rannicchiata su se stessa e singhiozzante.
«Chi sarà?» disse tra sé e sé James. «Mi sembra una donna e forse sta piangendo».
James arriva proprio davanti alla panchina e con tono molto dolce dice alla donna: «Buongiorno signorina! Tutto bene?»
La donna si spaventa e guarda l'uomo smettendo subito di singhiozzare.
«Signorina, ci conosciamo? Mi sembra di averla già vista».
Lei si asciuga le lacrime imbarazzata e si ricompone: «Salve, sono Amanda Proust».
«Amanda… Amanda… Ah sì!! Abitiamo nella stessa via. Sono James Walter.»
«Piacere! Mi scusi se mi ha trovata così, pensavo che a quest'ora non ci fosse nessuno. Ora me ne vado.»
«Non si preoccupi, rimanga».
«No meglio di no, buona giornata».
James guarda la donna allontanarsi e prova una strana sensazione. Inizia a leggere il suo libro ma lo chiude dopo quattro pagine, il suo pensiero è verso Amanda che sembra così fragile e triste. Si alza e la insegue, non riesce più a vederla, ma la strada è unica, non può sbagliare. Uscito dal parchetto vede Amanda seduta in mezzo alla strada: «Cosa fai lì?», urla James più forte che può. La donna sembra non sentirlo mentre un camion fa capolino dal fondo della strada.
«Alzati, spostati» James si butta verso Amanda e riesce a spostarla pochi secondi prima che passi il camion.
«Cosa ti salta in testa?» dice James agitatissimo.
Amanda lo fissa ma il suo sguardo sembra perso.
«Andiamo, ti porto a casa», dice James, «così posso chiamare qualcuno»."

064,"22 agosto ore 6:30
James esce di casa ed inizia la sua passeggiata mattutina, percorre tutta la sua via ed arriva al parchetto che si trova alla fine dell'isolato, lo attraversa e si dirige verso la panchina su cui è solito sedersi. Vede subito, anche se si trova ancora a qualche metro di distanza, che il “suo” posto è occupato da una persona rannicchiata su se stessa e singhiozzante.
«Chi sarà?», disse tra sé e sé James. «Mi sembra una donna e forse sta piangendo».
James arriva proprio davanti alla panchina e con tono molto dolce dice alla donna: «Buongiorno signorina! Tutto bene?»
La donna si spaventa e guarda l'uomo smettendo subito di singhiozzare.
«Signorina, ci conosciamo? Mi sembra di averla già vista».
Lei si asciuga le lacrime imbarazzata e si ricompone: «Salve, sono Amanda Proust».
«Amanda… Amanda… Ah sì!! Abitiamo nella stessa via. Sono James Walter.»
«Piacere! Mi scusi se mi ha trovata così, pensavo che a quest'ora non ci fosse nessuno. Ora me ne vado.»
«Rimanga pure, Amanda, non si preoccupi…» la donna non aspetta che James abbia finito la frase, si alza e si incammina lungo il vialetto.
James nella quiete del parco legge il suo libro. Guarda l'orologio e si rende conto che l'ora da dedicare alla lettura si è conclusa, si alza e ritorna verso casa. Uscito dal parco sente delle sirene in lontananza e vede dei lampeggianti a circa metà della sua via. Affretta il passo e arriva davanti alla casa chiusa da polizia e ambulanza.
«Ma questa se non ricordo male è la casa di Amanda», pensa. Intorno alla casa si è creato un gruppo di persone che osserva la scena e James si avvicina a uno di loro.
«Salve, mi scusi, lei sa cos'è successo?»
«Si è sentito un forte sparo provenire dalla casa e pare che la strana donna che abitava si sia sparata».
«Si chiamava Amanda per caso? Amanda Proust?»
«Mi pare di sì», rispose l'uomo. James si sentì crollare il mondo addosso."

